term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
eigene,...Georg der Sache auf eigene Faust nachgehen.,en,"adj. own, belonging to oneself or itself; typical, characteristic; particular, f",,
stimmt doch etwas nicht,Da stimmt doch etwas nicht!,en,something is wrong,,
ermordet,...wenn... wenn Frau Beier ermordet worden ist?,en,"v. pp. to murder, assassinate, kill",,
werfe,"...meinem Geldbeutel ein Geldstück, werfe es ins Telefon und...",en,"v.  throw, cast, chuck, toss",,
erstellen,Das Erstellen von LingQs,en,"creation, construction",,
küsste,...zu ihrer Mama und küsste sie wild.,en,kissed,,
zurückhaltend,Nina ist sehr zurückhaltend.,en,"adj.  reserved; cautious, guarded   /   reluctantly",,
polizeiwache,...Nachbarn Kapitel 4 Auf der Polizeiwache,en,"(die) police station, precinct",,
geschäftlich,"...ist in der Schweiz, geschäftlich.",en,on business,,
hässlichen,"...Georg spricht in einem hässlichen, grauen Büro mit einem...",en,ugly,,
beobachter,Für einen Beobachter muss ganz klar sein...,en,Observer (der),,
polizeibeamte,"...mit einem Polizisten. Der Polizeibeamte ist groß, blond und...",en,"(der) n. police officer, policeman, constable",,
wachtmeister,"Danke, Herr Wachtmeister.“ sagt Georg.",en,"Sergeant, Constable, Officer",,
lügt,"Ich bin 16“, lügt Georg.",en,"lügen = lie, tell an untruthful statement, cheat, tell a lie, tell untruth",,
pulver,Und... das Pulver?“,en,(das) powder,,
toter,Beerdigung: ein Toter wird „unter die Erde...,en,"(der) dead [person], body",,
beerdigung,...Nachmittag ist Frau Beiers Beerdigung.,en,"(die) funeral, burial",,
nah,...und seiner Wohnung liegen nah beieinander.“,en,"nearby, close at hand, near, close in time",,
beieinander,...seiner Wohnung liegen nah beieinander.“,en,"together, side by side",,
tatort,...Indizien kannst du am Tatort finden.“ Die beiden Freunde...,en,crime scene (der),,
reinkommen,...wie willst du da reinkommen?“,en,"come into, enter into",,
rauf,"Also, ich geh jetzt rauf.“",en,"upward, to higher point",,
läuten,"Das Läuten kennst du doch, oder?“",en,"(das) Ring, sound, tone toll | v. to ring",,
treffpunkt,"Treffpunkt: vor dem Haus, um...",en,(der) meeting point,,
stattfindet,"...nachmittag Frau Beiers Beerdigung stattfindet „Ja, Mama.“",en,"to happen, to occur, to take place",,
läute,"...ich den Beier sehe, läute ich zweimal mit meiner...",en,läuten: to ring / to chime ( a bell ),,
umschläge,"...dem Schreibtisch liegen Papier, Umschläge und Briefe.",en,Umschlag (der)  = envelope,,
lebewohl,Lebewohl zu sagen?“,en,"(das) farewell, goodbye",,
witz,"...gut, war nur ein Witz. Ich komme ja mit.",en,"joke, gag",,
beweist,"...an sich noch nichts beweist, ist das doch immerhin...",en,proves,,
umschlag,"...liegt ein großer, brauner Umschlag.",en,(der) envelope,,
testament,Er liest sie: ein Testament!,en,(das) last will,,
aufgebrochen,hast du die Schublade aufgebrochen,ru,"3) отправляться, выступать, собираться (в путь, в дорогу, в поход))\взломанный, вскрытый, отправившийся\1) взламывать; открывать силой; воен. прорывать (напр., оборону)",,
hergekommen,"Da bist du doch hergekommen, oder",uk,"приходити, прийти",,
herumgeht,Beier in der Wohnung herumgeht,en,walking around,,
da runter,Komm sofort da runter!“ schreit er,en,get down there,,
da habe ich schwein gehabt,"schnell, „ich wollte sagen: da habe ich Schwein gehabt",en,lit: “I had pig”; Idiomatic for “I got lucky.” (Pigs are associated with prosperity in Germany),,
kassiert,eine halbe Million Mark kassiert,en,"collected, cashed, took the money",,
mord,"Er hat den Mord so geplant, dass man",en,(der) murder,,
todes,seine Frau keines natürlichen Todes gestorben ist,en,"Tod (der) nm. death, end of life",,
wirkt,"Dieses Gift wirkt nicht sofort, sondern erst",en,"it works, seems (wirken)",,
schlägt die zeitung auf,Sein Vater schlägt die Zeitung auf,en,opens the newspaper,,
halskette,Kapitel 1: Eine komische Halskette,en,"(die, -n) n. necklace",,
neugierige,Das neugierige Kind,en,"curious, inquisitive",,
schließfach,...stellen Sie in ein Schließfach am Münchner Hauptbahnhof.,en,"(das, -:er) locker, lockable storage compartment",,
gesammelt,werden all Ihre Fehler gesammelt,en,"collected, gathered together from different places",,
türspion,"Er guckt durch den Türspion: ein Mann, sein Nachbar",en,(der) Peephole,,
fressalien,um sich noch mehr Fressalien zu holen,en,"(die, pl.) food",,
verbringen,"Möglichkeiten, schöne Zeit zu verbringen",en,spend time,,
vorstellung,dem Haus gegangen - die Vorstellung fängt um acht an,en,"(die) idea, imagination, notion, introduction; performance, show",,
verschwitzt,"und gefragt, warum ich verschwitzt bin",en,adj.  sweaty,,
verschlang,Der Wolf verschlang das Hinterteil wie ein...,en,swallowed,,
vorbeigelaufen,ich an einem Spielplatz vorbeigelaufen,en,"run past, walked by",,
beschließt,Er beschließt zu Hause zu bleiben...,en,decides,,
außerhalb,...einem kleinen Dorf etwas außerhalb Freiburgs:,en,"adv. exteriorly, externally, on the outside,",,
anstelle,Anstelle des Pferdes steckte nun...,en,instead of,,
verbringe,Ich verbringe gerne Zeit mit ihr,en,"spend, while",,
plombe,...nicht aus wie eine Plombe?,en,seal,,
auffällig,...Sie das ein bisschen auffällig!,en,"noticeable, obvious",,
streicht,Emma streicht sich die Haare aus...,en,"(transitive) to stroke
(transitive) to cancel; to discard; to delete; to strike out; to cross out
(transitive) to spread; to rub; to apply
(transitive) to paint",,
vorgestellt,...meinem Mann noch nicht vorgestellt.,en,"imagined;  introduced, presented",,
stell dir vor,"Stell dir vor, du nimmst mir Minka...",en,just imagine,,
melden,"Die Entführer melden sich sicherlich bald.""",en,"notify, inform, tell",,
verzweifelt,Verzweifelt hält Nina ihre Hände...,en,"desperate, hopeless",,
entführung,"...Sie gleich an eine Entführung?""",en,abduction,,
versteck,...bringst sie in ein Versteck und sagst zu mir...,en,"(das) hide, hiding place, hideout; shelter",,
küssten,Sie küssten Frau von Briest die...,en,kissed,,
badeort,"...hier, das ist ein Badeort in Hinterpommern.“",en,"(der) sea resort, mineral/spring resort",,
sichtbar,...rotblonden Köpfe der Zwillinge sichtbar.,en,"adj. seeable, viewable, can be seen, visible, apparent",,
umziehen,"...dich eigentlich gar nicht umziehen, du siehst gerade sehr...",en,"move, change residence; change clothes",,
sprangen,Dann sprangen die beiden Schwestern wieder...,en,"springen v. jump, leap, spring, vault, pounce, bounce, hop; crack, split, burst",,
vorgestern,"Du hast ihn vorgestern gesehen, und ich glaube...",en,the day before yesterday,,
verdienst,"Du verdienst es nicht anders!""",en,"(du) v. earn, deserve",,
sie starrt,Sie starrt ihn an.,en,she stares,,
bewegen,...ich kann mich nicht bewegen.,en,"budge, move, shift",,
waldhütte,Kapitel 3: In der Waldhütte,en,"(der, -n) forest hut",,
tut weh,Sein Kopf tut weh.,en,etw. ~ - smth is painful.,,
weh,Sein Kopf tut weh.,en,"(das, -e) n.: woe, pain, ache; grief, sadness. adj.: sore, painful, aching",,
von hinten,"...hat mich schnell gepackt, von hinten.",en,"from behind, from the rear",,
zugehalten,...er mir mit etwas zugehalten.,en,"v. perf. shut, locked, held closed",,
blödsinn,"Was für ein Blödsinn, dieser Sack!",en,"(der) nonsense, stupid, making no sense, senselessness,",,
gerochen,Es hat gerochen wie beim Zahnarzt...,en,smelled,,
bettdecke,...den Jungen mit einer Bettdecke zu und bleibt bei...,en,"(die, -n) blanket, bedspread, bed cover",,
also,So ist Georg heute also (fast) allein zu Hause,en,in other words,,
verlobungsmahl,Beim Verlobungsmahl sagte Vater von Briest...,en,Engagement feast,,
hochzeit,...Briest mit ihm: die Hochzeit und die Ausstattung des...,en,"(die) wedding, marriage",,
folgenden,Innstetten reiste schon am folgenden Tag wieder ab.,en,the following,,
eilte,Nach dem Verlobungsmahl eilte Effi zu Hulda.,en,"hurried, rushed",,
ernsten,Die ernsten Dinge besprach Frau von...,en,"ernst adj. grave, serious, earnest, solemn, severe",,
du bist schon selbst schuld,Du bist schon selbst schuld!,en,you have only yourself to blame,,
mistwetter,"So ein Mistwetter, jetzt regnet es auch...",en,"crappy weather, foul weather",,
waschanlage,"...das Auto durch die Waschanlage fahren"", denkt Bene.",en,Car wash,,
hart,...Händen nimmt er sie hart an den Schultern.,en,"hard, tough",,
erlaubt,"Wer hat dir das erlaubt?""",en,"(pp) allowed, permitted, permissible; allowedly",,
zitternder,"Leise, mit zitternder Stimme sagt sie: „Du...",en,trembling,,
mitgemacht,"Nur deshalb habe ich mitgemacht!""",en,be involved in,,
aufenthaltsgenehmigung,"...kriegen wir leicht eine Aufenthaltsgenehmigung, kostet höchstens ein paar...",en,"n.  residence permit, authorization to reside in a certain place",,
gefängnis,...die nächsten Jahre im Gefängnis.,en,"(das, -ses, -se) prison, jail",,
kriegen,"...da gute Kontakte, da kriegen wir leicht eine Aufenthaltsgenehmigung...",en,"get -, catch, capture, trap",,
unterrock,Warum bist du im Unterrock,uk,спідниця,,
nützt,Aber es nützt nichts: Am Morgen steht,en,benefits,,
brennt's,"Oh - wo brennt's?""",en,burns's,,
servus,"Servus, Franz! Du bist aber...",en,hello,,
wo brennt's,"Oh - wo brennt's?""",en,where's the fire?,,
magen,Liebe geht durch den Magen,en,"(der) stomach, organ which digests food; belly; (Colloquial) tummy",,
waldwirtschaft,...Sohn am Spielplatz von der Waldwirtschaft in Pullach.,en,Foresty (business),,
grundsätzen,...er ein Mann von Grundsätzen ist.,en,Principles,,
einkäufen,Bei den Einkäufen war Effi mit allem...,en,"purchases, shopping",,
eleganteste,...gefiel ihr nur das Eleganteste.,en,"most elegant, stylish, smart, fashionable",,
hochzeitsreise,"...zum Beispiel für die Hochzeitsreise nach Italien, gefiel ihr...",en,honeymoon,,
beweisen,Man hat ihm nichts beweisen können,en,"to prove sth, show, (sich) prove oneself",,
laune,"...und behielt seine gute Laune auch, als er die...",en,(die) mood,,
schluchzt,"Und ... "" Wieder schluchzt sie laut „Woher hat...",en,(du/er/ihr) sob  (infin: schluchzen),,
schlanker,"Geert ist ein schlanker Stamm, und Effi soll...",en,slim,,
fehlten,"...Dinge zu kaufen, die fehlten.",en,"were absent, missing, lacking",,
ausstattung,...die Hochzeit und die Ausstattung des Hauses in Kessin.,en,"equipment, supplies",,
pfefferminztee,Vor ihr steht ein Pfefferminztee.,ru,"(der, -s) чай с мятой перечной",en,"(der, -s) peppermint tea"
adliger,"...jung, und als ein adliger Gutsbesitzer kam, mein Papa...",en,"noble, aristocratic",,
auf den weg gemacht,"Ich habe mich heute auf den Weg gemacht, um mich mit meinem",ru,в пути,,
aufgestiegen,...bin jede einzelne Stufe aufgestiegen.,en,"ascend, climb",,
baue ich fast einen Unfall,"…in die Arbeit fahre, baue ich fast einen Unfall.",en,I almost have an (car) accident,,
restliche,Der restliche Tag wird sicher schwierig...,en,remaining,,
leichter,"Ich denke, das ist leichter für ihn.""",en,easier,,
verdientem,...man nicht mit legal verdientem Geld.,en,earned,,
ausgegeben,...vorsichtig und hat wenig ausgegeben.,en,distributed,,
spiegeleier,...macht sich schnell zwei Spiegeleier mit Schinken.,en,fried egg,,
kaffeebecher,…alles falsch und mein Kaffeebecher fällt mir auf den…,en,"(der) coffee mug, coffee cup",,
ankunft,Kapitel 1. Ankunft in Bayern,en,"(die) arrival, coming",,
abergläubisch,"…Du bist immer so abergläubisch!“, lacht Heinrich.",en,"adv. superstitiously, with superstitious belief, with belief in luck or magical forces",,
krafttraining,"Er hat immer viel Krafttraining gemacht, so sieht er...",en,(das) weight training,,
fressen,...hab diese Frau zum Fressen gern.,en,"devour, eat, consume food;",,
gemachtes,...leckerer Soße und selbst gemachtes Eis.,en,"gemacht, adj. done, finished, completed, made, manufactured",,
löffeln,"...sitzen und das Eis löffeln, schaut Adrian Emilie tief...",en,eat with the spoon,,
hinterlegen,"...den Sie erstellen, Grammatiknotizen hinterlegen.",en,"v.  deposit, put a sum of money in a bank for safekeeping, leave, leave behind",,
übersetzen,zu übersetzen sind sondern eher ein,en,"translate, change something from one language into another, interpret, explain",,
zerrte,Meggie zerrte ihn so ungeduldig hinter...,uk,смикнув потягнув,,
stangen,"...Pflanzen, die an langen Stangen in die Höhe wachsen.",en,"die Stange, die -n = rod, pole",,
hopfen,...Jahr ernten wir den Hopfen früher als sonst.“ „Was...,uk,хміль,,
endstation,...Stimme aus dem Lautsprecher: „ Endstation!,en,"Terminus, last station, final station, the final stop",,
enttäuscht,"...Opa?“, fragt Leon etwas enttäuscht.",en,disappointed,,
ernte,...sehr viel mit der Ernte zu tun.,en,"(die) harvest, crop (conj vb) harvest, reap",,
selbstvertrauen,...fehlt es mir an Selbstvertrauen.,en,self confidence,,
zehen,...auf dem Flur die Zehen an einem Stapel Bücher...,uk,пальці ніг,,
übereinander,zwei oder drei Kleider übereinander,en,adv.  one on top of the other,,
unerwartete,Kapitel 9 : Unerwartete Hilfe,en,unexpected,,
schlendert,Langsam schlendert Emma herum.,en,"(er/sie/es) stroll, amble, meander, saunter, walk leisurely, walk slowly, walk about aimlessly",,
fahrplan,"Sie liest den Fahrplan, nimmt eine Zeitschrift aus...",en,"(der) n. time-table, time chart; schedule",,
ohne spaß,"Nein, ohne Spaß, ich denke, von hier...",en,"no kidding, seriously",,
zeitschrift,"...den Fahrplan, nimmt eine Zeitschrift aus einem Zeitschriftenständer vor...",en,"(die) journal, newspaper, magazine",,
wirft,"...etwas in ihrem Geldbeutel, wirft ein Geldstück ins Telefon...",en,"(er/sie/es) v.  throw, cast, chuck, toss; score, earn a point (in a game, etc.); (about animals) give birth to young, whelp",,
aktenkoffer,"...älterer Mann mit einem Aktenkoffer, ein Ehepaar, ein junger...",en,(der) briefcase,,
badehose,"Möchtest du eine Badehose mit König Ludwig II.?""",en,(die) men's swimming shorts,,
zeitalter,"Wir leben im Zeitalter der Handys, zum Glück!",en,"(das) n. age, era, period of time",,
faltet,"Sie faltet es zusammen, dreht sich...",en,"to unfold, to open, to fold upwards, to upfold",,
geldbeutel,"...sucht etwas in ihrem Geldbeutel, wirft ein Geldstück ins...",en,"(der) pocket, purse, wallet",,
woran,Woran auch sonst?,uk,у чому; на що,,
lebensgefahr,...Junge ist im Kofferraum. Lebensgefahr!!!,en,(die) mortal danger,,
kennzeichen,...schwarzer BMW mit Nürnberger Kennzeichen.,en,(das) License plate,,
wickeln,Jemanden um den Finger wickeln,en,"v. wind, coil, bind, wrap, lap",,
erstaunt,...ihm gegenüber und fragt erstaunt: „Wie meinst du das?“,en,"adv.  amazedly, surprisedly, in amazement",,
kramt,Dann kramt er in seiner Hosentasche...,en,rummages,,
da vorne,"Da vorne, am Seitenstreifen parkt einer...",en,over there,,
rolltreppe,...Emma sieht Franz die Rolltreppe hinunterlaufen in Richtung Taxiparkplatz.,en,(die) Escalator,,
parkenden,Franz geht an den parkenden Taxis vorbei und will...,en,parked,,
aufgehört,"...Hoffentlich hat Bene nicht aufgehört zu rauchen ...""",en,"ceased, stopped",,
seitenstreifen,"Da vorne, am Seitenstreifen parkt einer - Nürnberger Kennzeichen!",en,"(der) nm. verge, shoulder, edge of the road",,
unauffällig,Ruhig und unauffällig geht er in Richtung...,en,"inconspicuously, unobtrusively, discreetly",,
kniekehle,...dem Fuß in Benes Kniekehle.,en,"knee pit, back of the knee?",,
zur kontrolle lasse,Zur Kontrolle lasse ich ihn ins Krankenhaus...,en,just to be sure,,
notarztwagen,...ein paar Minuten ist ein Notarztwagen da.,en,ambulance,,
lichtsensoren,Was sie nicht wissen: Lichtsensoren kontrollieren die Türen und...,en,light sensors,,
strolche,"...geschnappt, Chef. Diese kleinen Strolche!",en,Rascals,,
geschnappt,"POLIZIST: Ich habe sie geschnappt, Chef. Diese kleinen Strolche!",en,caught,,
seufzen,...dem Schrank ein seltsames Seufzen:,en,"v. sigh, exhale loudly as a sign of relief or sorrow",,
gestört,...hast du meinen Schlaf gestört?,en,"disturbed, troubled",,
lastet,"...Hieroglyphen gelesen, der Fluch lastet jetzt auf dir!",en,"carried, bore",,
bestrafe,...mich geweckt und dafür bestrafe ich dich.,en,"punish, discipline, fustigate, penalize, smite",,
nachdenkt,...im Wohnzimmer bleibt und nachdenkt.,en,thinks,,
einschlagen,Wir können ein Fenster einschlagen.,en,"drive into, choose as a target, make a choice",,
stange,JAN: Wir brauchen eine Stange oder einen Stock.,en,"(die) bar, rod, pole",,
seltsamen,"...mich entschlossen, aus diesem seltsamen Abenteuer ein Drehbuch zu...",en,"bizarre, strange, odd",,
beschäftige,"...gerne, aber am liebsten beschäftige ich mich mit Ägyptologie.",en,"(beschäftigen) to exercise, perplex, worry  (jdn.) to employ sb., to be on one's mind, bother sb.  (sich mit etw.) to tinker with sth., busy oneself with sth., devote oneself to sth., be concerned with sth., deal with or address sth.",,
verrücktes,...Zeit ist mir etwas Verrücktes passiert.,en,crazy ; (die) freak,,
drehbuch,"...unser Abenteuer echt ein Drehbuch schreiben.""",en,(das) Script,,
gehen wir rein,"...Hallo Jan, gehen wir rein?",en,let's go inside,,
gesichert,...ist das Museum gut gesichert.,en,"secured, assured, locked, trusted",,
einzigartig,"Sie ist wirklich einzigartig, es gibt nicht viele...",en,"unique, matchless, unequaled",,
erkenne,"...schon einmal gesehen, ich erkenne sie wieder.",en,(ich) v. recognise,,
widerfahren,...Ein Unglück wird dir widerfahren!,en,"v. befall, happen, occur",,
alarmanlage,...dann geht doch die Alarmanlage an.,en,alarm system,,
glasrohr,FEUERWEHRHAUPTMANN: Und das lange Glasrohr hier?,en,Glass tube,,
heult,Szene 4: Kurze Zeit später heult eine Feuerwehrsirene:,en,howls,,
reagenzglas,...VATER: Das ist ein Reagenzglas.,en,test tube,,
gehweg,...Eltern sitzen auf dem Gehweg.,en,walkway; sidewalk,,
zerstört,"...von unserem Sohn, das zerstört wurde.",en,"ruined, destroyed",,
verursacht,"...Sie, was die Explosion verursacht hat?",en,"caused, brought about, made happen, produced, induced",,
bunsenbrenner,...VATER: Das ist Stefans Bunsenbrenner.,en,(der) bunsen burner,,
aufwachraum,"...nicht, er ist im Aufwachraum.",en,Post-operative recovery room,,
glanzvolle,"...Jahren entsteht eine große und glanzvolle Kultur, sie ist...",en,"glamorous, (alluring, charming, glorious, glittering, dazzling)",,
blinddarm,"...Recht, das muss der Blinddarm sein.",en,appendix,,
beunruhigen,...Ich wollte dich nicht beunruhigen.,en,"to faze, to worry, to alarm",,
aufzustehen,Jan versucht aufzustehen.,en,got up,,
abzudrehen,...Gas für den Bunsenbrenner abzudrehen.,en,turn off,,
erklärbar,...MUTTER: Aber sie sind erklärbar.,en,explainable,,
seltsame,passieren seit einiger Zeit seltsame Dinge,en,"bizarre, strange",,
säure,...war ein Reagenzglas mit Säure.,en,acid,,
schlimme,Hier passieren jede Nacht schlimme Dinge,en,"adj.  bad, inferior, serious, wicked, naughty, terrible, awful, horrible",,
schätzen,...sie mit Gold und Schätzen.,en,"Appraise, assess, estimate,  respect, esteem",,
gräber,"...die alten Ägypter riesige Gräber, wie die Pyramiden.",en,(die) graves,,
grabräuber,"...gehen aber verloren, denn Grabräuber aus der ganzen Welt...",en,Grave robber[s],,
entsteht,Vor über 5000 Jahren entsteht eine große und...,en,"originate, result from, develop, emerge, produce",,
riesige,"...bauen die alten Ägypter riesige Gräber, wie die Pyramiden.",en,"colossal, enormous, gigantic, giant",,
tode,...die Pharaonen nach dem Tode frisch halten.,en,"death, end of life",,
tafel,...und seine Männer eine Tafel.,en,"board, slab, panel, chalkboard, board with a smooth surface for writing on with chalk; plate, table, meal, luncheon",,
grabkammer,...Pharao Tutanchamun ungestört in seiner Grabkammer.,en,Grave chamber,,
todesfällen,...es eine Serie von Todesfällen.,en,deaths,,
erschlagen,"...Der Tod soll den erschlagen, der die Ruhe des...",en,"v.  slay, kill, murder, strike",,
mücke,"...später sticht ih eine Mücke, Lord Carnarvon bekommt eine...",en,(die) mosquito,,
ausgrabungen,...alle hatten mit den Ausgrabungen zu tun - darunter ein...,en,Ausgrabung nf.  digging up; excavation (site); archaeological find,,
sticht,"Wenige Monate später sticht ih eine Mücke, Lord...",en,stab,,
steuern,"...es gibt Gesetze und Steuern, die man auf Korn...",en,tax,,
ausgewickelt,...die Mumie des Tutanchamun ausgewickelt hat.,en,"(auswickeln) to unwrap, unswaddle",,
vieh,...man auf Korn und Vieh bezahlen muss.,en,"(das)  n. cattle, livestock",,
pilz,...gab und dass dieser Pilz die Entdecker krank gemacht...,en,(der) Mushroom,,
schimmelpilz,...Grabkammer des Tutanchamun einen Schimmelpilz gab und dass dieser...,en,(Der) Mold,,
herrscher,...dass der König alleiniger Herrscher ist.,en,ruler,,
reichtum,"...Ramses II. gibt es Reichtum, aber auch Sklaverei.",en,"abundance, opulence, wealth",,
bauern,"...vor allem für die Bauern schlecht, weil sie oft...",en,farmers,,
zwingt,"Er zwingt den Pharao, das Volk...",en,"zwingen - v. compel, force, coerce, enforce, bring about through the use of power.",,
teilt,"...seine Hand, das Meer teilt sich und die Israeliten...",en,to share sth.  ;  to divide  ;  	to split sth.,,
aufgemacht,"...gerade das neue Restaurant aufgemacht, und sie wollte es...",en,"loosened, freed, released; opened",,
merkst,"...den Finger, und du merkst es einfach nicht.“",en,"be aware, realize",,
kontert,"...du auch nicht dabei“, kontert Peter.",en,counters,,
erwidert,"...Donnerstag ist unser Kinoabend …“, erwidert Leo.",en,"replied, answered",,
zufriedene,Er denkt an das zufriedene Lächeln seiner Freundin und...,en,satisfied,,
weihnachtsfeier,"Und die Weihnachtsfeier?“, möchte Peter wissen.",en,Christmas celebrations,,
